symbol;currency_group;currency_base;currency_quote
"UYU/CLP";"Exotic-Cross";"Uruguayan Peso";"Chilean Peso"
"UYU/COP";"Exotic-Cross";"Uruguayan Peso";"Colombian Peso"
"UYU/MXN";"Exotic-Cross";"Uruguayan Peso";"Mexican Peso"
"UYU/PEN";"Exotic-Cross";"Uruguayan Peso";"Peru Sol"
"UYU/PYG";"Exotic-Cross";"Uruguayan Peso";"Paraguayan Guarani"
"UYU/USD";"Exotic";"Uruguayan Peso";"US Dollar"
"UYU/VEF";"Exotic-Cross";"Uruguayan Peso";"Venezuelan Bolivar"
"UZS/RUB";"Minor";"Uzbekistani Sum";"Russian Ruble"
"VEF/AED";"Exotic-Cross";"Venezuelan Bolivar";"UAE Dirham"
"VEF/ARS";"Exotic-Cross";"Venezuelan Bolivar";"Argentinian Peso"
"VEF/AUD";"Exotic-Cross";"Venezuelan Bolivar";"Australian Dollar"
"VEF/BBD";"Exotic-Cross";"Venezuelan Bolivar";"Barbadian Dollar"
"VEF/BHD";"Exotic-Cross";"Venezuelan Bolivar";"Baharain Dinar"
"VEF/BOB";"Exotic-Cross";"Venezuelan Bolivar";"Bolivian Boliviano"
"VEF/BRL";"Exotic-Cross";"Venezuelan Bolivar";"Brazil Real"
"VEF/CAD";"Exotic-Cross";"Venezuelan Bolivar";"Canadian Dollar"
"VEF/CHF";"Exotic-Cross";"Venezuelan Bolivar";"Swiss Franc"
"VEF/CLP";"Exotic-Cross";"Venezuelan Bolivar";"Chilean Peso"
"VEF/CNY";"Exotic-Cross";"Venezuelan Bolivar";"Chinese Yuan"
"VEF/COP";"Exotic-Cross";"Venezuelan Bolivar";"Colombian Peso"
"VEF/CZK";"Exotic-Cross";"Venezuelan Bolivar";"Czech Koruna"
"VEF/DKK";"Exotic-Cross";"Venezuelan Bolivar";"Danish Krone"
"VEF/EGP";"Exotic-Cross";"Venezuelan Bolivar";"Egyptian Pound"
"VEF/EUR";"Exotic-Cross";"Venezuelan Bolivar";"Euro"
"VEF/GBP";"Exotic-Cross";"Venezuelan Bolivar";"British Pound"
"VEF/HKD";"Exotic-Cross";"Venezuelan Bolivar";"Hong Kong Dollar"
"VEF/HUF";"Exotic-Cross";"Venezuelan Bolivar";"Hungarian Forint"
"VEF/IDR";"Exotic-Cross";"Venezuelan Bolivar";"Indonesian Rupiah"
"VEF/ILS";"Exotic-Cross";"Venezuelan Bolivar";"Israeli Shekel"
"VEF/INR";"Exotic-Cross";"Venezuelan Bolivar";"Indian Rupee"
"VEF/ISK";"Exotic-Cross";"Venezuelan Bolivar";"Icelandic Krona"
"VEF/JMD";"Exotic-Cross";"Venezuelan Bolivar";"Jamaican Dollar"
"VEF/JOD";"Exotic-Cross";"Venezuelan Bolivar";"Jordan Dinar"
"VEF/JPY";"Exotic-Cross";"Venezuelan Bolivar";"Japanese Yen"
"VEF/KES";"Exotic-Cross";"Venezuelan Bolivar";"Kenyan Shilling"
"VEF/KRW";"Exotic-Cross";"Venezuelan Bolivar";"Korean Won"
"VEF/LBP";"Exotic-Cross";"Venezuelan Bolivar";"Lebanese Pound"
"VEF/LKR";"Exotic-Cross";"Venezuelan Bolivar";"Sri Lankan Rupee"
"VEF/MAD";"Exotic-Cross";"Venezuelan Bolivar";"Moroccan Dirham"
"VEF/MXN";"Exotic-Cross";"Venezuelan Bolivar";"Mexican Peso"
"VEF/MYR";"Exotic-Cross";"Venezuelan Bolivar";"Malaysian Ringgit"
"VEF/NAD";"Exotic-Cross";"Venezuelan Bolivar";"Namibian Dollar"
"VEF/NOK";"Exotic-Cross";"Venezuelan Bolivar";"Norwegian Krone"
"VEF/NPR";"Exotic-Cross";"Venezuelan Bolivar";"Nepalese Rupee"
"VEF/NZD";"Exotic-Cross";"Venezuelan Bolivar";"New Zealand Dollar"
"VEF/OMR";"Exotic-Cross";"Venezuelan Bolivar";"Omani Rial"
"VEF/PAB";"Exotic-Cross";"Venezuelan Bolivar";"Panamanian Balboa"
"VEF/PEN";"Exotic-Cross";"Venezuelan Bolivar";"Peru Sol"
"VEF/PHP";"Exotic-Cross";"Venezuelan Bolivar";"Philippine Peso"
"VEF/PKR";"Exotic-Cross";"Venezuelan Bolivar";"Pakistani Rupee"
"VEF/PLN";"Exotic-Cross";"Venezuelan Bolivar";"Polish Zloty"
"VEF/PYG";"Exotic-Cross";"Venezuelan Bolivar";"Paraguayan Guarani"
"VEF/QAR";"Exotic-Cross";"Venezuelan Bolivar";"Qatari Riyal"
"VEF/RON";"Exotic-Cross";"Venezuelan Bolivar";"Romanian Leu"
"VEF/RUB";"Exotic-Cross";"Venezuelan Bolivar";"Russian Ruble"
"VEF/SAR";"Exotic-Cross";"Venezuelan Bolivar";"Saudi Riyal"
"VEF/SEK";"Exotic-Cross";"Venezuelan Bolivar";"Swedish Krona"
"VEF/SGD";"Exotic-Cross";"Venezuelan Bolivar";"Singapore Dollar"
"VEF/THB";"Exotic-Cross";"Venezuelan Bolivar";"Thai Baht"
"VEF/TRY";"Exotic-Cross";"Venezuelan Bolivar";"Turkish Lira"
"VEF/TWD";"Exotic-Cross";"Venezuelan Bolivar";"Taiwan Dollar"
"VEF/USD";"Exotic";"Venezuelan Bolivar";"US Dollar"
"VEF/UYU";"Exotic-Cross";"Venezuelan Bolivar";"Uruguayan Peso"
"VEF/XAF";"Exotic-Cross";"Venezuelan Bolivar";"Central African CFA franc"
"VEF/XCD";"Exotic-Cross";"Venezuelan Bolivar";"East Caribbean Dollar"
"VEF/XOF";"Exotic-Cross";"Venezuelan Bolivar";"West African CFA franc"
"VEF/ZAR";"Exotic-Cross";"Venezuelan Bolivar";"South African Rand"
"VND/USD";"Minor";"Vietnamese Dong";"US Dollar"
"VND/XAF";"Exotic-Cross";"Vietnamese Dong";"Central African CFA franc"
"WTI/USD";"Minor";"Crude Oil WTI Spot";"US Dollar"
"XAG/AUD";"Minor";"Silver Spot";"Australian Dollar"
"XAG/CAD";"Minor";"Silver Spot";"Canadian Dollar"
"XAG/CHF";"Minor";"Silver Spot";"Swiss Franc"
"XAG/EUR";"Minor";"Silver Spot";"Euro"
"XAG/GBP";"Minor";"Silver Spot";"British Pound"
"XAGg/EUR";"Minor";"Gram Silver";"Euro"
"XAGg/TRY";"Minor";"Gram Silver";"Turkish Lira"
"XAGg/USD";"Minor";"Gram Silver";"US Dollar"
"XAG/TRY";"Minor";"Silver Spot";"Turkish Lira"
"XAG/USD";"Exotic";"Silver Spot";"US Dollar"
"XAU/AUD";"Minor";"Gold Spot";"Australian Dollar"
"XAU/CAD";"Minor";"Gold Spot";"Canadian Dollar"
"XAU/CHF";"Minor";"Gold Spot";"Swiss Franc"
"XAU/EUR";"Exotic";"Gold Spot";"Euro"
"XAU/GBP";"Minor";"Gold Spot";"British Pound"
"XAU/HKD";"Minor";"Gold Spot";"Hong Kong Dollar"
"XAU/JPY";"Minor";"Gold Spot";"Japanese Yen"
"XAU/NZD";"Minor";"Gold Spot";"New Zealand Dollar"
"XAU/SGD";"Minor";"Gold Spot";"Singapore Dollar"
"XAU/USD";"Exotic";"Gold Spot";"US Dollar"
"XAU/XAG";"Minor";"Gold Spot";"Silver Spot"
"XBR/USD";"Minor";"Brent Spot";"US Dollar"
"XG/USD";"Minor";"Copper Pound";"US Dollar"
"XPD/USD";"Minor";"Palladium Spot";"US Dollar"
"XPT/USD";"Minor";"Platinum Spot";"US Dollar"
"ZAR/AED";"Exotic-Cross";"South African Rand";"UAE Dirham"
"ZAR/ARS";"Exotic-Cross";"South African Rand";"Argentinian Peso"
"ZAR/AUD";"Exotic-Cross";"South African Rand";"Australian Dollar"
"ZAR/BBD";"Exotic-Cross";"South African Rand";"Barbadian Dollar"
"ZAR/BHD";"Exotic-Cross";"South African Rand";"Baharain Dinar"
"ZAR/BRL";"Exotic-Cross";"South African Rand";"Brazil Real"
"ZAR/BWP";"Exotic-Cross";"South African Rand";"Botswana Pula"
"ZAR/CAD";"Exotic-Cross";"South African Rand";"Canadian Dollar"
"ZAR/CHF";"Exotic-Cross";"South African Rand";"Swiss Franc"
"ZAR/CLP";"Exotic-Cross";"South African Rand";"Chilean Peso"
"ZAR/CNY";"Exotic-Cross";"South African Rand";"Chinese Yuan"
"ZAR/CZK";"Exotic-Cross";"South African Rand";"Czech Koruna"
"ZAR/DKK";"Exotic-Cross";"South African Rand";"Danish Krone"
"ZAR/EGP";"Exotic-Cross";"South African Rand";"Egyptian Pound"
"ZAR/EUR";"Exotic-Cross";"South African Rand";"Euro"
"ZAR/GBP";"Exotic-Cross";"South African Rand";"British Pound"
"ZAR/HKD";"Exotic-Cross";"South African Rand";"Hong Kong Dollar"
"ZAR/HUF";"Exotic-Cross";"South African Rand";"Hungarian Forint"
"ZAR/IDR";"Exotic-Cross";"South African Rand";"Indonesian Rupiah"
"ZAR/ILS";"Exotic-Cross";"South African Rand";"Israeli Shekel"
"ZAR/INR";"Exotic-Cross";"South African Rand";"Indian Rupee"
"ZAR/ISK";"Exotic-Cross";"South African Rand";"Icelandic Krona"
"ZAR/JMD";"Exotic-Cross";"South African Rand";"Jamaican Dollar"
"ZAR/JOD";"Exotic-Cross";"South African Rand";"Jordan Dinar"
"ZAR/JPY";"Exotic-Cross";"South African Rand";"Japanese Yen"
"ZAR/KES";"Exotic-Cross";"South African Rand";"Kenyan Shilling"
"ZAR/KRW";"Exotic-Cross";"South African Rand";"Korean Won"
"ZAR/LBP";"Exotic-Cross";"South African Rand";"Lebanese Pound"
"ZAR/LKR";"Exotic-Cross";"South African Rand";"Sri Lankan Rupee"
"ZAR/MAD";"Exotic-Cross";"South African Rand";"Moroccan Dirham"
"ZAR/MXN";"Exotic-Cross";"South African Rand";"Mexican Peso"
"ZAR/MYR";"Exotic-Cross";"South African Rand";"Malaysian Ringgit"
"ZAR/NAD";"Exotic-Cross";"South African Rand";"Namibian Dollar"
"ZAR/NOK";"Exotic-Cross";"South African Rand";"Norwegian Krone"
"ZAR/NPR";"Exotic-Cross";"South African Rand";"Nepalese Rupee"
"ZAR/NZD";"Exotic-Cross";"South African Rand";"New Zealand Dollar"
"ZAR/OMR";"Exotic-Cross";"South African Rand";"Omani Rial"
"ZAR/PAB";"Exotic-Cross";"South African Rand";"Panamanian Balboa"
"ZAR/PHP";"Exotic-Cross";"South African Rand";"Philippine Peso"
"ZAR/PKR";"Exotic-Cross";"South African Rand";"Pakistani Rupee"
"ZAR/PLN";"Exotic-Cross";"South African Rand";"Polish Zloty"
"ZAR/QAR";"Exotic-Cross";"South African Rand";"Qatari Riyal"
"ZAR/RON";"Exotic-Cross";"South African Rand";"Romanian Leu"
"ZAR/RUB";"Exotic-Cross";"South African Rand";"Russian Ruble"
"ZAR/SAR";"Exotic-Cross";"South African Rand";"Saudi Riyal"
"ZAR/SEK";"Exotic-Cross";"South African Rand";"Swedish Krona"
"ZAR/SGD";"Exotic-Cross";"South African Rand";"Singapore Dollar"
"ZAR/THB";"Exotic-Cross";"South African Rand";"Thai Baht"
"ZAR/TRY";"Exotic-Cross";"South African Rand";"Turkish Lira"
"ZAR/TWD";"Exotic-Cross";"South African Rand";"Taiwan Dollar"
"ZAR/USD";"Exotic";"South African Rand";"US Dollar"
"ZAR/VEF";"Exotic-Cross";"South African Rand";"Venezuelan Bolivar"
"ZAR/XAF";"Exotic-Cross";"South African Rand";"Central African CFA franc"
"ZAR/XCD";"Exotic-Cross";"South African Rand";"East Caribbean Dollar"
"ZAR/XOF";"Exotic-Cross";"South African Rand";"West African CFA franc"
